item_id,movie_name_x,movie_type,movie_name_y,dbpedia_link,kg_id
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls (1995),http://dbpedia.org/resource/Ace_Ventura:_When_Nature_Calls,6774
20,Money Train (1995),Action,Money Train (1995),http://dbpedia.org/resource/Money_Train_(film),14429
21,Get Shorty (1995),Action|Comedy|Drama,Get Shorty (1995),http://dbpedia.org/resource/Get_Shorty_(film),12645
22,Copycat (1995),Crime|Drama|Thriller,Copycat (1995),http://dbpedia.org/resource/Copycat_(film),8632
23,Assassins (1995),Thriller,Assassins (1995),http://dbpedia.org/resource/Assassins_(film),7283
24,Powder (1995),Drama|Sci-Fi,Powder (1995),http://dbpedia.org/resource/Powder_(film),5522
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas (1995),http://dbpedia.org/resource/Leaving_Las_Vegas,11019
26,Othello (1995),Drama,Othello (1995),http://dbpedia.org/resource/Othello_(1995_film),9335
27,Now and Then (1995),Drama,Now and Then (1995),http://dbpedia.org/resource/I_Now_Pronounce_You_Chuck_and_Larry,10453
28,Persuasion (1995),Romance,Persuasion (1995),http://dbpedia.org/resource/Persuasion_(1995_film),6444
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,"City of Lost Children, The (1995)",http://dbpedia.org/resource/The_City_of_Lost_Children,5614
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),http://dbpedia.org/resource/Shanghai_Triad,14147
31,Dangerous Minds (1995),Drama,Dangerous Minds (1995),http://dbpedia.org/resource/Dangerous_Minds,2358
32,Twelve Monkeys (1995),Drama|Sci-Fi,Twelve Monkeys (1995),http://dbpedia.org/resource/12_Monkeys,11618
33,Wings of Courage (1995),Adventure|Romance,Wings of Courage (1995),http://dbpedia.org/resource/Wings_of_Courage,2226
34,Babe (1995),Children's|Comedy|Drama,Babe (1995),http://dbpedia.org/resource/Babe_(film),13785
35,Carrington (1995),Drama|Romance,Carrington (1995),http://dbpedia.org/resource/Carrington_(film),13848
36,Dead Man Walking (1995),Drama,Dead Man Walking (1995),http://dbpedia.org/resource/Dead_Man_Walking_(film),8096
38,It Takes Two (1995),Comedy,It Takes Two (1995),http://dbpedia.org/resource/It_Takes_Two_(1995_film),4843
39,Clueless (1995),Comedy|Romance,Clueless (1995),http://dbpedia.org/resource/Clueless_(film),6290
40,"Cry, the Beloved Country (1995)",Drama,"Cry, the Beloved Country (1995)","http://dbpedia.org/resource/Cry,_the_Beloved_Country_(1995_film)",3050
41,Richard III (1995),Drama|War,Richard III (1995),http://dbpedia.org/resource/Richard_III_(1995_film),1633
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents (1995),http://dbpedia.org/resource/Dead_Presidents,5170
43,Restoration (1995),Drama,Restoration (1995),http://dbpedia.org/resource/Restoration_(1995_film),13977
44,Mortal Kombat (1995),Action|Adventure,Mortal Kombat (1995),http://dbpedia.org/resource/Mortal_Kombat_(film),10436
45,To Die For (1995),Comedy|Drama,To Die For (1995),http://dbpedia.org/resource/To_Die_For_(1994_film),10801
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt (1995),http://dbpedia.org/resource/How_to_Make_an_American_Quilt,10732
47,Seven (Se7en) (1995),Crime|Thriller,Seven (Se7en) (1995),http://dbpedia.org/resource/Seven_(1995_film),4876
48,Pocahontas (1995),Animation|Children's|Musical|Romance,Pocahontas (1995),http://dbpedia.org/resource/Pocahontas_(1995_film),12034
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling (1995),http://dbpedia.org/resource/When_Night_Is_Falling,9031
50,"Usual Suspects, The (1995)",Crime|Thriller,"Usual Suspects, The (1995)",http://dbpedia.org/resource/The_Usual_Suspects,10617
52,Mighty Aphrodite (1995),Comedy,Mighty Aphrodite (1995),http://dbpedia.org/resource/Mighty_Aphrodite,13751
53,Lamerica (1994),Drama,Lamerica (1994),http://dbpedia.org/resource/Lamerica,10507
54,"Big Green, The (1995)",Children's|Comedy,"Big Green, The (1995)",http://dbpedia.org/resource/The_Big_Green,12899
55,Georgia (1995),Drama,Georgia (1995),http://dbpedia.org/resource/Georgia_(1995_film),5612
57,Home for the Holidays (1995),Drama,Home for the Holidays (1995),http://dbpedia.org/resource/Home_for_the_Holidays_(film),11864
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,"Indian in the Cupboard, The (1995)",http://dbpedia.org/resource/The_Indian_in_the_Cupboard_(film),6300
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye (1996),http://dbpedia.org/resource/Eye_for_an_Eye_(1996_film),4318
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus (1995),http://dbpedia.org/resource/Mr._Holland's_Opus,10315
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),http://dbpedia.org/resource/Don't_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood,3010
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea (1996),http://dbpedia.org/resource/Two_If_by_Sea,4121
65,Bio-Dome (1996),Comedy,Bio-Dome (1996),http://dbpedia.org/resource/Bio-Dome,7554
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace (1996),http://dbpedia.org/resource/Lawnmower_Man_2:_Beyond_Cyberspace,11818
67,Two Bits (1995),Drama,Two Bits (1995),http://dbpedia.org/resource/Two_Bits,2420
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist (Gazon maudit) (1995),http://dbpedia.org/resource/French_Twist_(film),13581
69,Friday (1995),Comedy,Friday (1995),http://dbpedia.org/resource/Friday_(1995_film),13883
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,From Dusk Till Dawn (1996),http://dbpedia.org/resource/From_Dusk_till_Dawn,13582
71,Fair Game (1995),Action,Fair Game (1995),http://dbpedia.org/resource/Fair_Game_(1995_film),7116
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming (1995),http://dbpedia.org/resource/Kicking_and_Screaming_(1995_film),11306
74,Bed of Roses (1996),Drama|Romance,Bed of Roses (1996),http://dbpedia.org/resource/Bed_of_Roses_(1996_film),7336
75,Big Bully (1996),Comedy|Drama,Big Bully (1996),http://dbpedia.org/resource/Big_Bully_(film),2201
76,Screamers (1995),Sci-Fi|Thriller,Screamers (1995),http://dbpedia.org/resource/Screamers_(1995_film),377
78,"Crossing Guard, The (1995)",Drama,"Crossing Guard, The (1995)",http://dbpedia.org/resource/The_Crossing_Guard,13985
79,"Juror, The (1996)",Drama|Thriller,"Juror, The (1996)",http://dbpedia.org/resource/The_Juror,3940
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver when You're Dead (1995),http://dbpedia.org/resource/Things_to_Do_in_Denver_When_You're_Dead,9977
82,Antonia's Line (Antonia) (1995),Drama,Antonia's Line (Antonia) (1995),http://dbpedia.org/resource/Antonia's_Line,13335
84,Last Summer in the Hamptons (1995),Comedy|Drama,Last Summer in the Hamptons (1995),http://dbpedia.org/resource/Last_Summer_in_the_Hamptons,116
86,White Squall (1996),Adventure|Drama,White Squall (1996),http://dbpedia.org/resource/White_Squall_(film),3415
87,Dunston Checks In (1996),Children's|Comedy,Dunston Checks In (1996),http://dbpedia.org/resource/Dunston_Checks_In,8111
88,Black Sheep (1996),Comedy,Black Sheep (1996),http://dbpedia.org/resource/Black_Sheep_(1996_film),9529
89,Nick of Time (1995),Action|Thriller,Nick of Time (1995),http://dbpedia.org/resource/Nick_of_Time_(film),14116
90,"Journey of August King, The (1995)",Drama,"Journey of August King, The (1995)",http://dbpedia.org/resource/The_Journey_of_August_King,5024
92,Mary Reilly (1996),Drama|Thriller,Mary Reilly (1996),http://dbpedia.org/resource/Mary_Reilly_(film),5120
93,Vampire in Brooklyn (1995),Comedy|Romance,Vampire in Brooklyn (1995),http://dbpedia.org/resource/Vampire_in_Brooklyn,419
94,Beautiful Girls (1996),Drama,Beautiful Girls (1996),http://dbpedia.org/resource/Beautiful_Girls_(film),9000
95,Broken Arrow (1996),Action|Thriller,Broken Arrow (1996),http://dbpedia.org/resource/Broken_Arrow_(1996_film),6603
96,In the Bleak Midwinter (1995),Comedy,In the Bleak Midwinter (1995),http://dbpedia.org/resource/In_the_Bleak_Midwinter_(film),1569
98,Shopping (1994),Action|Thriller,Shopping (1994),http://dbpedia.org/resource/Shopping_(film),7176
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam (1995),http://dbpedia.org/resource/Heidi_Fleiss:_Hollywood_Madam,1134
100,City Hall (1996),Drama|Thriller,City Hall (1996),http://dbpedia.org/resource/City_Hall_(film),7268
101,Bottle Rocket (1996),Comedy,Bottle Rocket (1996),http://dbpedia.org/resource/Bottle_Rocket,9621
102,Mr. Wrong (1996),Comedy,Mr. Wrong (1996),http://dbpedia.org/resource/Mr._Wrong,14264
103,Unforgettable (1996),Thriller,Unforgettable (1996),http://dbpedia.org/resource/Unforgettable,5751
104,Happy Gilmore (1996),Comedy,Happy Gilmore (1996),http://dbpedia.org/resource/Happy_Gilmore,8893
105,"Bridges of Madison County, The (1995)",Drama|Romance,"Bridges of Madison County, The (1995)",http://dbpedia.org/resource/The_Bridges_of_Madison_County_(film),2105
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,Muppet Treasure Island (1996),http://dbpedia.org/resource/Muppet_Treasure_Island,12096
108,Catwalk (1995),Documentary,Catwalk (1995),http://dbpedia.org/resource/Catwalk_Dogs,9794
110,Braveheart (1995),Action|Drama|War,Braveheart (1995),http://dbpedia.org/resource/Braveheart_(1925_film),6141
111,Taxi Driver (1976),Drama|Thriller,Taxi Driver (1976),http://dbpedia.org/resource/Taxi_Driver_(1954_film),10215
113,Before and After (1996),Drama|Mystery,Before and After (1996),http://dbpedia.org/resource/Before_and_After_(film),6787
114,Margaret's Museum (1995),Drama,Margaret's Museum (1995),http://dbpedia.org/resource/Margaret's_Museum,10374
115,Happiness Is in the Field (1995),Comedy,Happiness Is in the Field (1995),http://dbpedia.org/resource/Happiness_Is_in_the_Field,13925
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered (1995),http://dbpedia.org/resource/Anne_Frank_Remembered,11270
117,"Young Poisoner's Handbook, The (1995)",Crime,"Young Poisoner's Handbook, The (1995)",http://dbpedia.org/resource/The_Young_Poisoner's_Handbook,5496
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell (1996),http://dbpedia.org/resource/If_Lucy_Fell,5738
119,"Steal Big, Steal Little (1995)",Comedy,"Steal Big, Steal Little (1995)",http://dbpedia.org/resource/Steal_Big_Steal_Little,9472
120,Race the Sun (1996),Drama,Race the Sun (1996),http://dbpedia.org/resource/Race_the_Sun,9959
121,"Boys of St. Vincent, The (1993)",Drama,"Boys of St. Vincent, The (1993)",http://dbpedia.org/resource/The_Boys_of_St._Vincent,9778
122,Boomerang (1992),Comedy|Romance,Boomerang (1992),http://dbpedia.org/resource/Boomerang_(1992_film),7786
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster (1996),http://dbpedia.org/resource/Flirting_with_Disaster_(film),7454
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,"NeverEnding Story III, The (1994)",http://dbpedia.org/resource/The_NeverEnding_Story_III,9560
129,Pie in the Sky (1995),Comedy|Romance,Pie in the Sky (1995),http://dbpedia.org/resource/Pie_in_the_Sky_(1996_film),9020
130,Angela (1995),Drama,Angela (1995),http://dbpedia.org/resource/Angela_(1995_film),9360
131,Frankie Starlight (1995),Drama|Romance,Frankie Starlight (1995),http://dbpedia.org/resource/Frankie_Starlight,4257
132,Jade (1995),Thriller,Jade (1995),http://dbpedia.org/resource/Jade_(film),2519
135,Down Periscope (1996),Comedy,Down Periscope (1996),http://dbpedia.org/resource/Down_Periscope,3061
137,Man of the Year (1995),Documentary,Man of the Year (1995),http://dbpedia.org/resource/Man_of_the_Year_(1995_film),8840
138,"Neon Bible, The (1995)",Drama,"Neon Bible, The (1995)",http://dbpedia.org/resource/The_Neon_Bible_(film),11103
139,Target (1995),Action|Drama,Target (1995),http://dbpedia.org/resource/Target_Earth_(film),12180
141,"Birdcage, The (1996)",Comedy,"Birdcage, The (1996)",http://dbpedia.org/resource/The_Birdcage,319
143,Gospa (1995),Drama,Gospa (1995),http://dbpedia.org/resource/Gospa,14048
144,"Brothers McMullen, The (1995)",Comedy,"Brothers McMullen, The (1995)",http://dbpedia.org/resource/The_Brothers_McMullen,8191
145,Bad Boys (1995),Action,Bad Boys (1995),http://dbpedia.org/resource/Bad_Boys_(1995_film),6810
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,"Amazing Panda Adventure, The (1995)",http://dbpedia.org/resource/The_Amazing_Panda_Adventure,210
147,"Basketball Diaries, The (1995)",Drama,"Basketball Diaries, The (1995)",http://dbpedia.org/resource/The_Basketball_Diaries_(film),13418
148,"Awfully Big Adventure, An (1995)",Drama,"Awfully Big Adventure, An (1995)",http://dbpedia.org/resource/An_Awfully_Big_Adventure,5343
149,Amateur (1994),Crime|Drama|Thriller,Amateur (1994),http://dbpedia.org/resource/Amateur_(film),8494
150,Apollo 13 (1995),Drama,Apollo 13 (1995),http://dbpedia.org/resource/Apollo_13_(film),12095
151,Rob Roy (1995),Drama|Romance|War,Rob Roy (1995),http://dbpedia.org/resource/Rob_Roy,8730
152,"Addiction, The (1995)",Horror,"Addiction, The (1995)",http://dbpedia.org/resource/Addiction_(film),11119
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Batman Forever (1995),http://dbpedia.org/resource/Batman_Forever,355
154,Belle de jour (1967),Drama,Belle de jour (1967),http://dbpedia.org/resource/Belle_de_Jour_(film),7097
155,Beyond Rangoon (1995),Drama|War,Beyond Rangoon (1995),http://dbpedia.org/resource/Beyond_Rangoon,1643
156,Blue in the Face (1995),Comedy,Blue in the Face (1995),http://dbpedia.org/resource/Blue_in_the_Face,13295
157,Canadian Bacon (1994),Comedy|War,Canadian Bacon (1994),http://dbpedia.org/resource/Canadian_Bacon,10344
158,Casper (1995),Adventure|Children's,Casper (1995),http://dbpedia.org/resource/Casper_(film),13131
159,Clockers (1995),Drama,Clockers (1995),http://dbpedia.org/resource/Clockers_(film),9715
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Congo (1995),http://dbpedia.org/resource/Congo_(film),218
161,Crimson Tide (1995),Drama|Thriller|War,Crimson Tide (1995),http://dbpedia.org/resource/Crimson_Tide_(film),7013
162,Crumb (1994),Documentary,Crumb (1994),http://dbpedia.org/resource/Crumb_(film),6029
163,Desperado (1995),Action|Romance|Thriller,Desperado (1995),http://dbpedia.org/resource/Desperado_(film),5777
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Devil in a Blue Dress (1995),http://dbpedia.org/resource/Devil_in_a_Blue_Dress_(film),3237
165,Die Hard: With a Vengeance (1995),Action|Thriller,Die Hard: With a Vengeance (1995),http://dbpedia.org/resource/Die_Hard_with_a_Vengeance,2088
166,"Doom Generation, The (1995)",Comedy|Drama,"Doom Generation, The (1995)",http://dbpedia.org/resource/The_Doom_Generation,9143
167,Feast of July (1995),Drama,Feast of July (1995),http://dbpedia.org/resource/Feast_of_July,11407
168,First Knight (1995),Action|Adventure|Drama|Romance,First Knight (1995),http://dbpedia.org/resource/First_Knight,12753
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,Free Willy 2: The Adventure Home (1995),http://dbpedia.org/resource/Free_Willy_2:_The_Adventure_Home,752
170,Hackers (1995),Action|Crime|Thriller,Hackers (1995),http://dbpedia.org/resource/Hackers_(film),10551
171,Jeffrey (1995),Comedy,Jeffrey (1995),http://dbpedia.org/resource/Jeffrey_(film),10969
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Johnny Mnemonic (1995),http://dbpedia.org/resource/Johnny_Mnemonic_(film),12402
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,Judge Dredd (1995),http://dbpedia.org/resource/Judge_Dredd_(film),9513
174,Jury Duty (1995),Comedy,Jury Duty (1995),http://dbpedia.org/resource/Jury_Duty_(film),3054
175,Kids (1995),Drama,Kids (1995),http://dbpedia.org/resource/Kids_(film),5858
176,Living in Oblivion (1995),Comedy,Living in Oblivion (1995),http://dbpedia.org/resource/Living_in_Oblivion,4073
177,Lord of Illusions (1995),Horror,Lord of Illusions (1995),http://dbpedia.org/resource/Lord_of_Illusions,103
178,Love & Human Remains (1993),Comedy,Love & Human Remains (1993),http://dbpedia.org/resource/Love_and_Human_Remains,7808
179,Mad Love (1995),Drama|Romance,Mad Love (1995),http://dbpedia.org/resource/Mad_Love_(1995_film),10371
180,Mallrats (1995),Comedy,Mallrats (1995),http://dbpedia.org/resource/Mallrats,13291
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,Mighty Morphin Power Rangers: The Movie (1995),http://dbpedia.org/resource/Mighty_Morphin_Power_Rangers:_The_Movie,11963
182,Moonlight and Valentino (1995),Drama|Romance,Moonlight and Valentino (1995),http://dbpedia.org/resource/Moonlight_and_Valentino,8732
183,Mute Witness (1994),Thriller,Mute Witness (1994),http://dbpedia.org/resource/Mute_Witness,2914
184,Nadja (1994),Drama,Nadja (1994),http://dbpedia.org/resource/Nadja_(film),2140
185,"Net, The (1995)",Sci-Fi|Thriller,"Net, The (1995)",http://dbpedia.org/resource/NetForce_(film),6045
186,Nine Months (1995),Comedy,Nine Months (1995),http://dbpedia.org/resource/Nine_Months,12614
187,Party Girl (1995),Comedy,Party Girl (1995),http://dbpedia.org/resource/Party_Girl_(1995_film),2890
188,"Prophecy, The (1995)",Horror,"Prophecy, The (1995)",http://dbpedia.org/resource/Prophecy_(film),1057
189,Reckless (1995),Comedy,Reckless (1995),http://dbpedia.org/resource/Reckless_(1995_film),9125
190,Safe (1995),Thriller,Safe (1995),http://dbpedia.org/resource/Safe_(1995_film),7078
191,"Scarlet Letter, The (1995)",Drama,"Scarlet Letter, The (1995)",http://dbpedia.org/resource/The_Scarlet_Letter_(1995_film),9749
192,"Show, The (1995)",Documentary,"Show, The (1995)",http://dbpedia.org/resource/High_School_Musical_2,11008
193,Showgirls (1995),Drama,Showgirls (1995),http://dbpedia.org/resource/Showgirls,5566
194,Smoke (1995),Drama,Smoke (1995),http://dbpedia.org/resource/Smoke_(film),5166
195,Something to Talk About (1995),Comedy|Drama|Romance,Something to Talk About (1995),http://dbpedia.org/resource/Something_to_Talk_About_(film),3350
196,Species (1995),Horror|Sci-Fi,Species (1995),http://dbpedia.org/resource/Species_(film),2995
197,"Stars Fell on Henrietta, The (1995)",Drama,"Stars Fell on Henrietta, The (1995)",http://dbpedia.org/resource/The_Stars_Fell_on_Henrietta,1339
198,Strange Days (1995),Action|Crime|Sci-Fi,Strange Days (1995),http://dbpedia.org/resource/Strange_Days_(film),6650
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",http://dbpedia.org/resource/The_Umbrellas_of_Cherbourg,1117
200,"Tie That Binds, The (1995)",Thriller,"Tie That Binds, The (1995)",http://dbpedia.org/resource/The_Tie_That_Binds_(1995_film),10991
201,Three Wishes (1995),Drama,Three Wishes (1995),http://dbpedia.org/resource/Three_Wishes_(film),10909
202,Total Eclipse (1995),Drama|Romance,Total Eclipse (1995),http://dbpedia.org/resource/Total_Eclipse_(film),8821
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)","http://dbpedia.org/resource/To_Wong_Foo,_Thanks_for_Everything!_Julie_Newmar",11070
204,Under Siege 2: Dark Territory (1995),Action,Under Siege 2: Dark Territory (1995),http://dbpedia.org/resource/Under_Siege_2:_Dark_Territory,12219
205,Unstrung Heroes (1995),Comedy|Drama,Unstrung Heroes (1995),http://dbpedia.org/resource/Unstrung_Heroes,1821
206,Unzipped (1995),Documentary,Unzipped (1995),http://dbpedia.org/resource/Unzipped_(film),7538
207,"Walk in the Clouds, A (1995)",Drama|Romance,"Walk in the Clouds, A (1995)",http://dbpedia.org/resource/A_Walk_in_the_Clouds,5297
208,Waterworld (1995),Action|Adventure,Waterworld (1995),http://dbpedia.org/resource/Waterworld,5569
209,White Man's Burden (1995),Drama,White Man's Burden (1995),http://dbpedia.org/resource/White_Man's_Burden_(film),13846
211,"Browning Version, The (1994)",Drama,"Browning Version, The (1994)",http://dbpedia.org/resource/The_Browning_Version_(1994_film),2773
212,Bushwhacked (1995),Comedy,Bushwhacked (1995),http://dbpedia.org/resource/Bushwhacked_(film),5754
213,Burnt By the Sun (Utomlyonnye solntsem) (1994),Drama,Burnt By the Sun (Utomlyonnye solntsem) (1994),http://dbpedia.org/resource/Burnt_by_the_Sun,8200
215,Before Sunrise (1995),Drama|Romance,Before Sunrise (1995),http://dbpedia.org/resource/Before_Sunrise,10301
216,Billy Madison (1995),Comedy,Billy Madison (1995),http://dbpedia.org/resource/Billy_Madison,14240
217,"Babysitter, The (1995)",Drama|Thriller,"Babysitter, The (1995)",http://dbpedia.org/resource/The_Babysitter,3907
218,Boys on the Side (1995),Comedy|Drama,Boys on the Side (1995),http://dbpedia.org/resource/Boys_on_the_Side,13807
219,"Cure, The (1995)",Drama,"Cure, The (1995)",http://dbpedia.org/resource/Cure_(film),11113
220,Castle Freak (1995),Horror,Castle Freak (1995),http://dbpedia.org/resource/Castle_Freak,1394
222,Circle of Friends (1995),Drama|Romance,Circle of Friends (1995),http://dbpedia.org/resource/Circle_of_Friends_(1995_film),9583
223,Clerks (1994),Comedy,Clerks (1994),http://dbpedia.org/resource/Clerks_II,9018
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Don Juan DeMarco (1995),http://dbpedia.org/resource/Don_Juan_DeMarco,5972
225,Disclosure (1994),Drama|Thriller,Disclosure (1994),http://dbpedia.org/resource/Disclosure_(film),2278
227,Drop Zone (1994),Action,Drop Zone (1994),http://dbpedia.org/resource/Drop_Zone_(film),7588
228,Destiny Turns on the Radio (1995),Comedy,Destiny Turns on the Radio (1995),http://dbpedia.org/resource/Destiny_Turns_on_the_Radio,4841
229,Death and the Maiden (1994),Drama|Thriller,Death and the Maiden (1994),http://dbpedia.org/resource/Death_and_the_Maiden_(film),11411
230,Dolores Claiborne (1994),Drama|Thriller,Dolores Claiborne (1994),http://dbpedia.org/resource/Dolores_Claiborne_(film),2712
231,Dumb & Dumber (1994),Comedy,Dumb & Dumber (1994),http://dbpedia.org/resource/Dumb_and_Dumber,9922
233,Exotica (1994),Drama,Exotica (1994),http://dbpedia.org/resource/Exotica_(film),422
234,Exit to Eden (1994),Comedy,Exit to Eden (1994),http://dbpedia.org/resource/Exit_to_Eden_(film),14332
235,Ed Wood (1994),Comedy|Drama,Ed Wood (1994),http://dbpedia.org/resource/Ed_Wood_(film),6931
236,French Kiss (1995),Comedy|Romance,French Kiss (1995),http://dbpedia.org/resource/French_Kiss_(1995_film),5959
237,Forget Paris (1995),Comedy|Romance,Forget Paris (1995),http://dbpedia.org/resource/Forget_Paris,2535
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children's,Far From Home: The Adventures of Yellow Dog (1995),http://dbpedia.org/resource/Far_from_Home:_The_Adventures_of_Yellow_Dog,252
239,"Goofy Movie, A (1995)",Animation|Children's|Comedy|Romance,"Goofy Movie, A (1995)",http://dbpedia.org/resource/A_Goofy_Movie,10011
240,Hideaway (1995),Thriller,Hideaway (1995),http://dbpedia.org/resource/Hideaway_(film),12496
241,Fluke (1995),Children's|Drama,Fluke (1995),http://dbpedia.org/resource/Fluke_(film),4263
242,Farinelli: il castrato (1994),Drama|Musical,Farinelli: il castrato (1994),http://dbpedia.org/resource/Farinelli_(film),12915
243,Gordy (1995),Comedy,Gordy (1995),http://dbpedia.org/resource/Gordy,5017
244,Gumby: The Movie (1995),Animation|Children's,Gumby: The Movie (1995),http://dbpedia.org/resource/Gumby:_The_Movie,928
245,"Glass Shield, The (1994)",Crime|Drama,"Glass Shield, The (1994)",http://dbpedia.org/resource/The_Glass_Shield,4487
246,Hoop Dreams (1994),Documentary,Hoop Dreams (1994),http://dbpedia.org/resource/Hoop_Dreams,5253
247,Heavenly Creatures (1994),Drama|Fantasy|Romance|Thriller,Heavenly Creatures (1994),http://dbpedia.org/resource/Heavenly_Creatures,5534
248,Houseguest (1994),Comedy,Houseguest (1994),http://dbpedia.org/resource/Houseguest,6063
249,Immortal Beloved (1994),Drama|Romance,Immortal Beloved (1994),http://dbpedia.org/resource/Immortal_Beloved_(film),7165
250,Heavyweights (1994),Children's|Comedy,Heavyweights (1994),http://dbpedia.org/resource/Heavyweights,11767
251,"Hunted, The (1995)",Action,"Hunted, The (1995)",http://dbpedia.org/resource/Hunted_(film),2423
252,I.Q. (1994),Comedy|Romance,I.Q. (1994),http://dbpedia.org/resource/I.Q._(film),10029
253,Interview with the Vampire (1994),Drama|Horror,Interview with the Vampire (1994),http://dbpedia.org/resource/Interview_with_the_Vampire:_The_Vampire_Chronicles,13460
254,Jefferson in Paris (1995),Drama,Jefferson in Paris (1995),http://dbpedia.org/resource/Jefferson_in_Paris,14118
255,"Jerky Boys, The (1994)",Comedy,"Jerky Boys, The (1994)",http://dbpedia.org/resource/The_Jerky_Boys:_The_Movie,4892
256,Junior (1994),Comedy|Sci-Fi,Junior (1994),http://dbpedia.org/resource/Junior_(1994_film),47
257,Just Cause (1995),Mystery|Thriller,Just Cause (1995),http://dbpedia.org/resource/Just_Cause_(film),4205
