movieID,text_summery,title,img_url,img_name
20,"A vengeful New York City transit cop decides to steal a trainload of subway fares. His foster brother, a fellow cop, tries to protect him.",Money Train (1995),"https://m.media-amazon.com/images/M/MV5BYWZlMzIwYzYtOWZiMi00ZGEzLWFhYmQtNmEzYzJlNDg1NjhjXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",20.jpg
21,"A mobster travels to Hollywood to collect a debt, and discovers that the movie business is much the same as his current job.",Get Shorty (1995),"https://m.media-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",21.jpg
22,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,Copycat (1995),"https://m.media-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",22.jpg
23,Professional hit-man Robert Rath wants to fulfill a few more contracts before retiring but unscrupulous ambitious newcomer hit-man Miguel Bain keeps killing Rath's targets.,Assassins (1995),"https://m.media-amazon.com/images/M/MV5BZGI1NDA4ZDItNTRjMi00YTU3LTkwZDEtYjdlNTI1ZjQxZDM1XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_UY268_CR12,0,182,268_AL_.jpg",23.jpg
24,An off the charts genius who is home schooled and shunned after his last relative dies shows the unconscious residents of his town about connection awareness and the generosity of the spirit.,Powder (1995),"https://m.media-amazon.com/images/M/MV5BOGUzYzNiZTItYmZlNi00ODI1LThjNTMtNjI1MTNlZDQ0OGY2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_UX182_CR0,0,182,268_AL_.jpg",24.jpg
25,"Ben Sanderson, a Hollywood screenwriter who lost everything because of his alcoholism, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",Leaving Las Vegas (1995),"https://m.media-amazon.com/images/M/MV5BNDg3MDM5NTI0MF5BMl5BanBnXkFtZTcwNDY0NDk0NA@@._V1_UX182_CR0,0,182,268_AL_.jpg",25.jpg
26,"The Moorish General Othello is manipulated into thinking that his new wife Desdemona has been carrying on an affair with his Lieutenant Michael Cassio, when in reality, it is all part of the scheme of a bitter Ensign named Iago.",Othello (1995),"https://m.media-amazon.com/images/M/MV5BNzVlMjhjYzctNjQ4My00OGMwLThmZTktODE4MWI3NzNkOWYyXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",26.jpg
27,Four 12-year-old girls grow up together during an eventful small-town summer in 1970.,Now and Then (1995),"https://m.media-amazon.com/images/M/MV5BMTM2MDQ1YjUtMGM0NC00NmFlLTljMDktZjJiNWRhMWYxOWYyXkEyXkFqcGdeQXVyNjgzMjI4ODE@._V1_UX182_CR0,0,182,268_AL_.jpg",27.jpg
28,"Eight years earlier, Anne Elliot, the daughter of a financially troubled aristocratic family, was persuaded to break off her engagement to Frederick Wentworth, a young seaman, who, though ...See full summary »",Persuasion (1995),"https://m.media-amazon.com/images/M/MV5BMTc5NzAwNDAyN15BMl5BanBnXkFtZTYwMjYzMDc5._V1_UY268_CR1,0,182,268_AL_.jpg",28.jpg
30,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),"https://m.media-amazon.com/images/M/MV5BODgzNGQyNjEtYTU0My00ZGY2LTg4Y2MtMWNiY2QyZGE1MGRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",30.jpg
31,An ex-Marine turned teacher struggles to connect with her students in an inner city school.,Dangerous Minds (1995),"https://m.media-amazon.com/images/M/MV5BZjk2YjNkYTYtOTZkNy00ZmRkLWI5ODEtYzA4MTM3MzMyZjhlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",31.jpg
33,"While flying mail across the Andean mountains, Henri Guillaumet's plane has to crash-land, he must trek back to civilizatin on foot.",Wings of Courage (1995),"https://m.media-amazon.com/images/M/MV5BZWRjOGEyMWEtYmZjMi00MmVmLWE3ZjQtYmJiZTA0MmExYTU5L2ltYWdlXkEyXkFqcGdeQXVyMjI3ODYyNDU@._V1_UX182_CR0,0,182,268_AL_.jpg",33.jpg
34,"Babe, a pig raised by sheepdogs, learns to herd sheep with a little help from Farmer Hoggett.",Babe (1995),"https://m.media-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg",34.jpg
35,The platonic relationship between artist Dora Carrington (Dame Emma Thompson) and writer Lytton Strachey (Jonathan Pryce) in the early twentieth century.,Carrington (1995),"https://m.media-amazon.com/images/M/MV5BZjQ3MTBkNDEtMGRlZS00OTY0LTkzYjktOWU2MzI3ZDRiMjY5XkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",35.jpg
36,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",Dead Man Walking (1995),"https://m.media-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@._V1_UX182_CR0,0,182,268_AL_.jpg",36.jpg
37,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all ...See full summary »",Across the Sea of Time (1995),"https://m.media-amazon.com/images/M/MV5BOTIwMzk1MDc1MF5BMl5BanBnXkFtZTcwMTEzNDkyMQ@@._V1_UY268_CR43,0,182,268_AL_.jpg",37.jpg
38,"Alyssa and Amanda are two little girls who are identical, but complete strangers, that accidentally meet one day.",It Takes Two (1995),"https://m.media-amazon.com/images/M/MV5BMzdhMGU0MzEtZjg1Ny00YzE5LWE0MGQtMTNiN2UwN2I5ZDBjXkEyXkFqcGdeQXVyNTgzMzU5MDI@._V1_UX182_CR0,0,182,268_AL_.jpg",38.jpg
39,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other.",Clueless (1995),"https://m.media-amazon.com/images/M/MV5BMzBmOGQ0NWItOTZjZC00ZDAxLTgyOTEtODJiYWQ2YWNiYWVjXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UX182_CR0,0,182,268_AL_.jpg",39.jpg
40,"A South African preacher goes to search for his wayward son, who has committed a crime in the big city.","Cry, the Beloved Country (1995)","https://m.media-amazon.com/images/M/MV5BMTcwMDU1OTEwOF5BMl5BanBnXkFtZTcwMTg5NjEyMQ@@._V1_UY268_CR3,0,182,268_AL_.jpg",40.jpg
41,The classic Shakespearean play about the murderously scheming 15th-century king is reimagined in an alternative setting of 1930s England as clouds of fascism gather.,Richard III (1995),"https://m.media-amazon.com/images/M/MV5BOWI3NjhhZDItNWQ2NS00Zjg0LWIzMjctNzY0MjRmNzkyYzVmXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_UX182_CR0,0,182,268_AL_.jpg",41.jpg
42,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",Dead Presidents (1995),"https://m.media-amazon.com/images/M/MV5BNjdhZWEzMzEtMjNhZS00OThhLWFiZWUtM2EwMWU5MWE0MDA4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",42.jpg
43,"The exiled royal physician to King Charles II devotes himself to helping Londoners suffering from the plague, and in the process falls in love with an equally poor woman.",Restoration (1995),"https://m.media-amazon.com/images/M/MV5BZmQwODk5ZGItMDk5OS00MjU4LTgyYmUtYTBiMTFhYWM5MDY4XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",43.jpg
44,Three unknowing martial artists are summoned to a mysterious island to compete in a tournament whose outcome will decide the fate of the world.,Mortal Kombat (1995),"https://m.media-amazon.com/images/M/MV5BNjY5NTEzZGItMGY3My00NzE4LThkYTUtYjJkNzk3MDBiMWE3XkEyXkFqcGdeQXVyNzg5MDE1MDk@._V1_UX182_CR0,0,182,268_AL_.jpg",44.jpg
45,A beautiful but naïve aspiring television personality films a documentary on teenagers with a darker ulterior motive.,To Die For (1995),"https://m.media-amazon.com/images/M/MV5BNGZhYzgwNzItNDljNC00MDM4LThiYjEtNDRhNmE5NDk2MTQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",45.jpg
46,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,How to Make an American Quilt (1995),"https://m.media-amazon.com/images/M/MV5BNGYwZmZkYWItNjdmMi00MjI2LThmOGYtMmI1NTQ0OWQ1YWIxXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_UX182_CR0,0,182,268_AL_.jpg",46.jpg
48,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,Pocahontas (1995),"https://m.media-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_UX182_CR0,0,182,268_AL_.jpg",48.jpg
49,"An uptight and conservative woman, working on tenure as a literacy professor at a large urban university, finds herself strangely attracted to a free-spirited, liberal woman who works at a local carnival that comes to town.",When Night Is Falling (1995),"https://m.media-amazon.com/images/M/MV5BNGUxMDM1ODEtZjhjZi00NjVjLWEwNmUtNmZmOTQ1MzQxNmQ3XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_UY268_CR1,0,182,268_AL_.jpg",49.jpg
50,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","Usual Suspects, The (1995)","https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_UX182_CR0,0,182,268_AL_.jpg",50.jpg
51,"Christine McKay is a cop. She and some other cops which includes her lover are pursuing some criminals. Her lover gets killed by a woman named Nina, who is later caught. Because of his ...See full summary »",Guardian Angel (1994),"https://m.media-amazon.com/images/M/MV5BMTk5Mjg4MTU0OV5BMl5BanBnXkFtZTgwNzExNTAwNzE@._V1_UY268_CR13,0,182,268_AL_.jpg",51.jpg
52,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",Mighty Aphrodite (1995),"https://m.media-amazon.com/images/M/MV5BMGM1NzM2ZjktNDM5ZS00YmExLTk5ZmYtNDdkNjdkNTdhZWZkXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",52.jpg
53,Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ...See full summary »,Lamerica (1994),"https://m.media-amazon.com/images/M/MV5BNjlmZmQ0ZGUtNTBjYy00ZTg3LWE1NmMtNDAyNDI2Zjc4ZDViXkEyXkFqcGdeQXVyMzIwNDY4NDI@._V1_UX182_CR0,0,182,268_AL_.jpg",53.jpg
54,"A teacher on exchange from England is placed in an underachieving Texan school, where she coaches the children in soccer, improving their self esteem and leading to unexpected success.","Big Green, The (1995)","https://m.media-amazon.com/images/M/MV5BNmY4NWVkM2UtY2FkZC00NWJiLTg5N2EtYzk4NjJkMGE0YzA3XkEyXkFqcGdeQXVyNTM5NzI0NDY@._V1_UX182_CR0,0,182,268_AL_.jpg",54.jpg
55,Sadie is desperately looking up to her older sister Georgia who is a famous C&W artist. Her desperate need to be accepted by her sister is constantly complicated by her drug and alcohol problems.,Georgia (1995),"https://m.media-amazon.com/images/M/MV5BZWJiNjMwYzMtZWU5Yi00NGI0LTg5NGYtZDY4MWRiYjEwYTYzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",55.jpg
56,"Eleven-year-old Alex and his fellow homemade heroes are having a backyard blast. Battles rage, knights fight and damsels distress in a cardboard Camelot of dirt-bike steeds, aluminum foil ...See full summary »",Kids of the Round Table (1995),"https://m.media-amazon.com/images/M/MV5BMTEwMTM0MzI3OTheQTJeQWpwZ15BbWU3MDQzNTQ2MTE@._V1_UX182_CR0,0,182,268_AL_.jpg",56.jpg
57,"After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her family.",Home for the Holidays (1995),"https://m.media-amazon.com/images/M/MV5BMjVlYTQ4NjgtZWQxMS00ZmQ0LTg4M2QtOGE0ZmJiNDhkMzI4XkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",57.jpg
60,"Omri, a young boy growing up in Brooklyn, receives an odd variety of presents for his birthday: a wooden cabinet from his older brother, a set of antique keys from his mother and a tiny plastic model of an Indian from his best friend Patrick.","Indian in the Cupboard, The (1995)","https://m.media-amazon.com/images/M/MV5BZWZlYmZiZGMtN2YyZC00MTdjLTllNjUtYWNhZDMwNDhhOTM1XkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg",60.jpg
61,"When the courts fail to keep behind bars the man who raped and murdered her daughter, a woman seeks her own form of justice.",Eye for an Eye (1996),"https://m.media-amazon.com/images/M/MV5BMDM4Mzc5ZjAtM2JjMi00NzU1LWEzM2MtNDQzNWI5MmRkM2I1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",61.jpg
62,A frustrated composer finds fulfillment as a high school music teacher.,Mr. Holland's Opus (1995),"https://m.media-amazon.com/images/M/MV5BZDZhNDRlZjAtYzdhNy00ZjU1LWFlMDYtNjA5NjliM2Y5ZmVjL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_UX182_CR0,0,182,268_AL_.jpg",62.jpg
63,"A parody of several U.S. films about being in the Hood, for instance Boyz n the Hood (1991), South Central (1992), Menace II Society (1993), Higher Learning (1995) and Juice (1992).",Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),"https://m.media-amazon.com/images/M/MV5BY2NmM2M2MWItNjdlMC00ZWI3LTkwODUtZDNkYWZjYjgzZjY3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",63.jpg
64,A couple steals a Matisse painting on contract. They manage to escape the police. The sale takes place 4 days later on an island. Things don't go as planned.,Two if by Sea (1996),"https://m.media-amazon.com/images/M/MV5BY2YwZjVkMjItYjY4Yy00M2QyLTg0Y2MtYmFiNTgzMjNmMmQzXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",64.jpg
65,"Moronic best friends get themselves locked inside the Bio-Dome, a science experiment, along with a group of environmental scientists for one year.",Bio-Dome (1996),"https://m.media-amazon.com/images/M/MV5BYzY0ZjI0NTUtNDE4Yi00OGU2LWExZDMtNTY1MTM3ZWE3MzEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",65.jpg
66,"Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and ...See full summary »",Lawnmower Man 2: Beyond Cyberspace (1996),"https://m.media-amazon.com/images/M/MV5BZGI0ZDZhOGUtZDZiOS00NWE2LThjNzQtYzI3ZGFjODUwZjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",66.jpg
67,"Gennaro lives with his ailing grandpa, who sits outside holding tight to his last quarter. But grandpa's not ready to die, he has some unfinished business with a woman from his past and he enlists Gennaro to act as his emissary.",Two Bits (1995),"https://m.media-amazon.com/images/M/MV5BOGE1NmM0MjYtZmJjYS00ODI5LWI0MjgtOGM2MTY3ZmIyNDZkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_UX182_CR0,0,182,268_AL_.jpg",67.jpg
68,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",French Twist (Gazon maudit) (1995),"https://m.media-amazon.com/images/M/MV5BMWEwNWY1ZjQtYWMxYS00ZDY2LTg2Y2YtZDc5MTM4MzE0NTM4XkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_UY268_CR1,0,182,268_AL_.jpg",68.jpg
69,"Two homies, Smokey and Craig Jones, smoke a dope dealer's weed and try to figure a way to get the two hundred dollars they owe to the dealer by 10 p.m. that same night.",Friday (1995),"https://m.media-amazon.com/images/M/MV5BYmEwNjNlZTUtNzkwMS00ZTlhLTkyY2MtMjM2MzlmODQyZGVhXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_UX182_CR0,0,182,268_AL_.jpg",69.jpg
70,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",From Dusk Till Dawn (1996),"https://m.media-amazon.com/images/M/MV5BZjk3YmZhMDAtOWUzMS00YjE5LTkxNzAtY2I1NGZjMDA2ZTk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",70.jpg
71,"Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her.",Fair Game (1995),"https://m.media-amazon.com/images/M/MV5BMTE4M2Q2ZjctMGViNS00NzhiLWFkMjMtMjY2NWMzOWUzM2Y3XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",71.jpg
72,"A bunch of guys hang around their college for months after graduation, continuing a life much like the one before graduation.",Kicking and Screaming (1995),"https://m.media-amazon.com/images/M/MV5BNWU2YjdlN2ItNTk2OS00MzMwLTlhYjctNDI0MDI0NTQ3OWY0XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_UX182_CR0,0,182,268_AL_.jpg",72.jpg
74,"Romantic drama about a young career girl who is swept off her feet by a shy florist, who fell in love with her after one glimpse through a shadowy window.",Bed of Roses (1996),"https://m.media-amazon.com/images/M/MV5BNTUwOWM4YmUtMzdkMi00YjEwLWE0MmEtZTBmMGNhYWU4OGI3XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_UX182_CR0,0,182,268_AL_.jpg",74.jpg
75,"A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.",Big Bully (1996),"https://m.media-amazon.com/images/M/MV5BNDdhZTdiOTAtMWNiMC00NDRmLTllZWItYWMzOWZjNDY3ZmRiXkEyXkFqcGdeQXVyNjMwMjk0MTQ@._V1_UX182_CR0,0,182,268_AL_.jpg",75.jpg
76,Soldiers attempting to negotiate the end to a long-running war discover the robots they built to assassinate enemy combatants have gained sentience and are plotting against both sides.,Screamers (1995),"https://m.media-amazon.com/images/M/MV5BM2M2ZGM0NDUtODRhNS00MjcxLTg3ZWYtYjkyZDJkYmVjOWYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX182_CR0,0,182,268_AL_.jpg",76.jpg
77,"A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,...See full summary »",Nico Icon (1995),"https://m.media-amazon.com/images/M/MV5BNTY2MDM2NzcyM15BMl5BanBnXkFtZTcwMjk3MzcyMQ@@._V1_UY268_CR0,0,182,268_AL_.jpg",77.jpg
78,Freddy Gale is a seedy jeweller who has sworn to kill the drunk driver who killed his little girl.,"Crossing Guard, The (1995)","https://m.media-amazon.com/images/M/MV5BMjkwNWMyZjQtNmU5MS00ZWE1LWE3NzMtNGZjNTlhYzcwNjIzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_UX182_CR0,0,182,268_AL_.jpg",78.jpg
79,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,"Juror, The (1996)","https://m.media-amazon.com/images/M/MV5BYTMzNjAyZTktNzRjMS00ZThmLTk5ODEtZWI5ZmYyZGNiNzMxXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX182_CR0,0,182,268_AL_.jpg",79.jpg
